Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/28/2015_13:35:58.493 2 2 4 2 1 no
03/28/2015_13:35:59.493 1 2 4 3 2 no
03/28/2015_13:36:00.509 1 1 1 3 4 yes
03/28/2015_13:36:01.509 1 1 1 3 4 yes
03/28/2015_13:36:02.509 1 1 1 3 4 yes
03/28/2015_13:36:03.525 1 1 3 3 3 yes
03/28/2015_13:36:04.525 2 2 4 3 1 no
03/28/2015_13:36:05.525 2 2 3 3 1 no
03/28/2015_13:36:06.525 1 2 4 3 4 yes
03/28/2015_13:36:07.525 1 1 3 3 4 yes
03/28/2015_13:36:08.525 2 2 4 3 4 yes
03/28/2015_13:36:09.525 1 1 3 3 4 yes
03/28/2015_13:36:10.525 1 2 4 3 2 no
03/28/2015_13:36:11.525 1 1 1 3 4 yes
03/28/2015_13:36:12.525 1 1 1 3 4 yes
03/28/2015_13:36:13.525 1 1 1 3 1 no
03/28/2015_13:36:14.525 1 1 1 3 1 no
03/28/2015_13:36:15.525 1 1 1 3 2 no
03/28/2015_13:36:16.525 2 2 1 3 3 yes
03/28/2015_13:36:17.540 1 1 1 3 4 yes
03/28/2015_13:36:18.540 1 1 1 3 4 yes
03/28/2015_13:36:19.540 1 1 1 3 4 yes
03/28/2015_13:36:20.915 1 1 1 3 4 yes
03/28/2015_13:36:21.915 1 1 1 3 4 yes
03/28/2015_13:36:23.337 1 1 1 3 4 yes
03/28/2015_13:36:24.337 1 1 1 3 4 yes
03/28/2015_13:36:25.337 1 1 1 3 4 yes
03/28/2015_13:36:26.337 1 1 1 3 4 yes
03/28/2015_13:36:27.337 1 1 1 3 4 yes
03/28/2015_13:36:28.337 1 1 1 3 4 yes
03/28/2015_13:36:29.337 1 1 1 3 3 no
03/28/2015_13:36:30.337 1 1 1 3 4 yes
03/28/2015_13:36:31.337 1 1 1 3 2 no
03/28/2015_13:36:32.337 1 1 1 3 2 no
03/28/2015_13:36:33.337 1 1 1 3 3 no
03/28/2015_13:36:34.337 1 1 1 3 4 yes
03/28/2015_13:36:35.337 1 1 1 3 4 yes
03/28/2015_13:36:36.368 1 1 1 3 4 yes
03/28/2015_13:36:39.806 1 1 1 3 4 yes
03/28/2015_13:36:40.947 1 1 1 3 4 yes
03/28/2015_13:36:41.947 1 1 1 3 4 yes
03/28/2015_13:36:42.947 1 1 1 3 4 yes
03/28/2015_13:36:43.947 1 1 1 3 4 yes
03/28/2015_13:36:44.947 1 1 1 3 3 no
03/28/2015_13:36:45.947 1 1 1 3 4 yes
03/28/2015_13:36:46.947 1 1 1 3 4 yes
